CustomerKey,City,First Name,Last Name,Full Name,Gender,DateFirstPurchase
11000,Rockhampton,Jon,Yang,Jon Yang,MALE,2021-01-19
11001,Seaford,Eugene,Huang,Eugene Huang,MALE,2021-01-15
11002,Hobart,Ruben,Torres,Ruben Torres,MALE,2021-01-07
11003,North Ryde,Christy,Zhu,Christy Zhu,FEMALE,2020-12-29
11004,Wollongong,Elizabeth,Johnson,Elizabeth Johnson,FEMALE,2021-01-23
11005,East Brisbane,Julio,Ruiz,Julio Ruiz,MALE,2020-12-30
11006,Matraville,Janet,Alvarez,Janet Alvarez,FEMALE,2021-01-24
11007,Warrnambool,Marco,Mehta,Marco Mehta,MALE,2021-01-09
11008,Bendigo,Rob,Verhoff,Rob Verhoff,FEMALE,2021-01-25
11009,Hervey Bay,Shannon,Carlson,Shannon Carlson,MALE,2021-01-27
11010,East Brisbane,Jacquelyn,Suarez,Jacquelyn Suarez,FEMALE,2021-01-14
11011,East Brisbane,Curtis,Lu,Curtis Lu,MALE,2020-12-30
11012,Bremerton,Lauren,Walker,Lauren Walker,FEMALE,2023-03-16
11013,Lebanon,Ian,Jenkins,Ian Jenkins,MALE,2023-04-13
11014,Redmond,Sydney,Bennett,Sydney Bennett,FEMALE,2023-03-23
11015,Burbank,Chloe,Young,Chloe Young,FEMALE,2023-01-18
11016,Imperial Beach,Wyatt,Hill,Wyatt Hill,MALE,2023-02-09
11017,Sunbury,Shannon,Wang,Shannon Wang,FEMALE,2021-01-12
11018,Bendigo,Clarence,Rai,Clarence Rai,MALE,2021-01-17
11019,Langley,Luke,Lal,Luke Lal,MALE,2023-02-12
11020,Metchosin,Jordan,King,Jordan King,MALE,2022-12-29
11021,Beaverton,Destiny,Wilson,Destiny Wilson,FEMALE,2023-01-23
11022,Bellingham,Ethan,Zhang,Ethan Zhang,MALE,2023-01-20
11023,Bellflower,Seth,Edwards,Seth Edwards,MALE,2023-02-17
11024,Concord,Russell,Xie,Russell Xie,MALE,2023-06-27
11025,Hawthorne,Alejandro,Beck,Alejandro Beck,MALE,2021-01-06
11026,Goulburn,Harold,Sai,Harold Sai,MALE,2021-01-23
11027,Warrnambool,Jessie,Zhao,Jessie Zhao,MALE,2021-01-16
11028,St. Leonards,Jill,Jimenez,Jill Jimenez,FEMALE,2021-01-26
11029,Bendigo,Jimmy,Moreno,Jimmy Moreno,MALE,2021-01-19
11030,Cloverdale,Bethany,Yuan,Bethany Yuan,FEMALE,2021-02-05
11031,Matraville,Theresa,Ramos,Theresa Ramos,FEMALE,2021-02-01
11032,Melbourne,Denise,Stone,Denise Stone,FEMALE,2021-02-18
11033,Milsons Point,Jaime,Nath,Jaime Nath,MALE,2021-02-15
11034,North Sydney,Ebony,Gonzalez,Ebony Gonzalez,FEMALE,2021-02-01
11035,Cranbourne,Wendy,Dominguez,Wendy Dominguez,FEMALE,2021-02-06
11036,National City,Jennifer,Russell,Jennifer Russell,FEMALE,2023-01-22
11037,Cliffside,Chloe,Garcia,Chloe Garcia,FEMALE,2023-01-20
11038,Lavender Bay,Diana,Hernandez,Diana Hernandez,FEMALE,2021-02-07
11039,Wollongong,Marc,Martin,Marc Martin,MALE,2021-02-07
11040,Tacoma,Jesse,Murphy,Jesse Murphy,MALE,2023-04-03
11041,Glendale,Amanda,Carter,Amanda Carter,FEMALE,2023-01-14
11042,Los Angeles,Megan,Sanchez,Megan Sanchez,FEMALE,2023-01-21
11043,Glendale,Nathan,Simmons,Nathan Simmons,MALE,2023-05-08
11044,Hervey Bay,Adam,Flores,Adam Flores,MALE,2021-02-28
11045,Matraville,Leonard,Nara,Leonard Nara,MALE,2023-04-10
11046,Lavender Bay,Christine,Yuan,Christine Yuan,FEMALE,2021-02-06
11047,Geelong,Jaclyn,Lu,Jaclyn Lu,FEMALE,2021-02-03
11048,Sunbury,Jeremy,Powell,Jeremy Powell,MALE,2021-02-10
11049,Chula Vista,Carol,Rai,Carol Rai,FEMALE,2023-03-09
11050,Hobart,Alan,Zheng,Alan Zheng,MALE,2021-02-20
11051,Caloundra,Daniel,Johnson,Daniel Johnson,MALE,2023-12-29
11052,Matraville,Heidi,Lopez,Heidi Lopez,FEMALE,2021-02-17
11053,San Diego,Ana,Price,Ana Price,FEMALE,2023-01-17
11054,Geelong,Deanna,Munoz,Deanna Munoz,FEMALE,2021-02-03
11055,East Brisbane,Gilbert,Raje,Gilbert Raje,MALE,2021-01-31
11056,Newcastle,Michele,Nath,Michele Nath,FEMALE,2021-02-26
11057,Lane Cove,Carl,Andersen,Carl Andersen,MALE,2021-02-22
11058,Findon,Marc,Diaz,Marc Diaz,MALE,2021-03-09
11059,Townsville,Ashlee,Andersen,Ashlee Andersen,FEMALE,2023-02-18
11060,Warrnambool,Jon,Zhou,Jon Zhou,MALE,2021-03-19
11061,Gold Coast,Todd,Gao,Todd Gao,MALE,2021-03-13
11062,Portland,Noah,Powell,Noah Powell,MALE,2023-01-07
11063,Redmond,Angela,Murphy,Angela Murphy,FEMALE,2023-01-12
11064,Downey,Chase,Reed,Chase Reed,MALE,2023-01-25
11065,La Jolla,Jessica,Henderson,Jessica Henderson,FEMALE,2023-02-10
11066,Lebanon,Grace,Butler,Grace Butler,FEMALE,2023-05-31
11067,Port Orchard,Caleb,Carter,Caleb Carter,MALE,2023-08-18
11068,Warrnambool,Tiffany,Liang,Tiffany Liang,FEMALE,2023-04-30
11069,Gold Coast,Carolyn,Navarro,Carolyn Navarro,FEMALE,2021-04-17
